url,昵称,标题,性别,回答数目,关注者,文章,描述
https://www.zhihu.com/people/oldgoat/following,oldgoat,若想邀请我回答哲学问题则请先论证它是一个哲学问题。,男,109,20043,3,
https://www.zhihu.com/people/simonluo/following,Simon Luo,二月春风似Jane Doe,男,94,9378,11,
https://www.zhihu.com/people/jiang-yuan-77/following,姜源,,男,631,32848,7,
https://www.zhihu.com/people/andy-lee-60/following,Andy Lee,《思维的利剑》的作者，微信公众号：认真想,男,644,45925,540,
https://www.zhihu.com/people/ru-shi-shuo-59/following,陆贽,女权公众号Herstoria,女,376,10538,45,
https://www.zhihu.com/people/witch959/following,木棉959,准V7.0 BNU PSYer,女,29,329,1,
https://www.zhihu.com/people/niu-bi-21-47/following,Mr Poopybutthole,"Ooh, wee!",男,255,41680,29,
https://www.zhihu.com/people/wang-ding-ding-26-31/following,汪丁丁,a professor,男,28,9655,14,
https://www.zhihu.com/people/arjuna/following,Arjuna,语言学爱好者,男,431,9466,120,
https://www.zhihu.com/people/serena-locke/following,骆伟倩,UVa Law'2017 | BFSU SIRD'2013 | 专业好奇家 永远的理想主义者,女,41,16721,13,
https://www.zhihu.com/people/kai-zhi-xue-tang/following,开智学堂,培养创造者的在线大学,男,,396,32,
https://www.zhihu.com/people/qiancai_saidong/following,塞冬,公众号：黔财有话说，微博：黔财有话说_塞冬,男,152,54924,10,
https://www.zhihu.com/people/zhang-yi-chen-37-82-32/following,张柳新,多伦多大学社会学系／科史哲系学生,男,14,1752,21,
https://www.zhihu.com/people/cyberknight/following,电子骑士,黄钟弃毁，瓦釜雷鸣,男,375,140366,15,
https://www.zhihu.com/people/wenspinozaxuan/following,温绚,她认出风暴而激动如大海,女,43,12375,1,
https://www.zhihu.com/people/wang-rui-en/following,王瑞恩,老王力气大无穷 双手举起纸灯笼,男,745,250067,104,
https://www.zhihu.com/people/zeng-kai-87/following,Hannibal Lecter,尔雅诗书自幼读，等闲文章信手著，疯癫岂可惹人笑，子夜寒窗为圣途,男,141,330986,12,
https://www.zhihu.com/people/peipei55905/following,Peipei,信息传播 . 神经科学 . 宾西法尼亚大学,女,40,9878,7,
https://www.zhihu.com/people/zhang-xin-49-20/following,张昕,发展心理学,男,42,18611,19,
https://www.zhihu.com/people/knowyourself-1/following,KnowYourself,人人都能看懂，但只有一部分人才会喜欢的泛心理学,男,691,633198,163,
https://www.zhihu.com/people/reinhardtjin/following,Reinhardt Jin,1 SB PhD,男,315,42107,50,
https://www.zhihu.com/people/zengjiaplus/following,曾加,凝视深渊过久，深渊将回以凝视,男,299,361377,22,
https://www.zhihu.com/people/han-di-63/following,D.Han,,男,571,92242,38,
https://www.zhihu.com/people/shan-yang-yue/following,山羊月,不以己蔽人，不以人蔽己，不以己自蔽。,男,813,160377,16,
https://www.zhihu.com/people/2017cs/following,路人乙,未来不迎，当下不杂，过往不恋,男,165,15636,22,
https://www.zhihu.com/people/xue-zhu-zi-yuan-da-quan/following,学术资源大全,致力打造高校研究人员最佳的资源获取平台。,女,,684,241,
https://www.zhihu.com/people/karanokyoukai/following,Kyoukai,别再搞砸了…,男,142,12809,7,
https://www.zhihu.com/people/chitazheng/following,巫冬,互联网 / 科技 / 媒体,女,95,2403,9,
https://www.zhihu.com/people/langlang0614/following,郎朗,国际著名钢琴家/音乐教育者,男,9,95677,0,
https://www.zhihu.com/people/JIMMY666/following,黄焖Jimmy饭,不活跃不答题,男,115,46030,1,
https://www.zhihu.com/people/su-bing-tian-TF/following,苏炳添,中国短跑运动员,男,1,13660,0,
https://www.zhihu.com/people/ke-da-xun-fei/following,科大讯飞,让世界聆听我们的声音！｜微信公众号：iFLYTEK1999,男,57,11711,68,
https://www.zhihu.com/people/zhi-hu-dian-zi-shu/following,知乎电子书,,男,12,124206,80,
https://www.zhihu.com/people/zhi-hu-shi-pin/following,知乎视频,看见、记录、分享更大的世界。,男,,404,1,
https://www.zhihu.com/people/thus-helian/following,赫连飒姒,妇产科主治医师，公众号：妇产科女司机,女,1191,101716,10,
https://www.zhihu.com/people/zi-quan-26/following,梓泉,被删的东西都备份在公众号ZiquanM,男,376,43796,16,
https://www.zhihu.com/people/geekpark-16/following,极客公园,Only for X. 只为商业新变量,男,316,43319,668,
https://www.zhihu.com/people/deeptech-shen-ke-ji/following,DeepTech深科技,科学、技术、产业。,男,41,26468,486,
https://www.zhihu.com/people/ceng-xiang-46-12/following,曾翔,创投圈 | 深度思考 | 新鲜事物,男,6,2148,20,
https://www.zhihu.com/people/dong-hua-xue-zhu-pa/following,动画学术趴,动画领域深度媒体与爱好者社区「微信公众号：动画学术趴」,男,89,26692,410,
https://www.zhihu.com/people/chu-zi-hang-80/following,褚自航,风险投资人/CFA/CPA,男,336,40176,24,
https://www.zhihu.com/people/36-ke/following,36氪,让一部分人先看到未来,男,104,117435,210,
https://www.zhihu.com/people/weng-xin-79/following,翁昕,艺术经纪人；新书《如何看懂艺术》各大平台发售中,男,102,137063,118,
https://www.zhihu.com/people/wangjingyu/following,鏡宇cupl,1GxAkinv7gxRwvwwpoitoEedeV7n3wrAXm,男,7,413,0,
https://www.zhihu.com/people/teng-xun-ke-ji/following,腾讯科技,微信号：qqtech,男,114,118419,55,
https://www.zhihu.com/people/teng-xun-70/following,腾讯,,男,50,51357,54,
https://www.zhihu.com/people/huyulan/following,胡玉兰,,女,19,7441,3,
https://www.zhihu.com/people/xin-shi-xiang-98/following,新世相,微信公众号：thefair2 ，我们终将改变潮水的方向 。,男,113,26935,121,
https://www.zhihu.com/people/edtall/following,孙志超,一切都写进了知乎个人详细资料,男,48,262575,27,
https://www.zhihu.com/people/he-ming-ke/following,何明科,不写程序的数据工程师不是好产品经理,男,839,250845,102,
https://www.zhihu.com/people/robbin/following,robbin,丁香园CTO，前JavaEye网站创始人,男,247,40269,79,
